skill_id,subject,grade_band,grade_or_course,strand,skill_name,standard_code,prerequisites,teach_text,worked_example,status,q1_prompt,q1_choices,q1_answer,q1_diff,q1_hint,q2_prompt,q2_choices,q2_answer,q2_diff,q2_hint,q3_prompt,q3_choices,q3_answer,q3_diff,q3_hint,q4_prompt,q4_choices,q4_answer,q4_diff,q4_hint
read-3-lit-1,Reading,3-5,3,Literary comprehension,Identify the narrator,ELA.3.R.1.1,,Ask: who is telling this story? I/we is first person. He/she is third.,I ran to the dock. → first person,published,I packed my bag and waited. Who is telling the story?,a narrator outside the story|the character using I|the reader,the character using I,1,The word I is the clue.,Which is third person?,I was late.|She was late.|We were late.,She was late.,2,She means someone else is being described.,Why does narrator matter?,It changes whose thoughts we hear.|It changes the font.|It changes the page number.,It changes whose thoughts we hear.,3,First person lets us inside one character's head.,A story that says "Marcus thought the test was easy" is,first person|second person|third person,third person,4,We see Marcus from the outside.
read-3-inf-1,Reading,3-5,3,Informational comprehension,Find the main idea of an informational paragraph,ELA.3.R.2.2,read-2-lc-2,Informational text teaches. The main idea is the lesson of the paragraph.,Florida is a peninsula. That fact may support a paragraph about Florida's geography.,published,Alligators live in freshwater. They are reptiles. They bask in the sun. Main idea?,Alligators are freshwater reptiles.|The sun is hot.|Reptiles have scales.,Alligators are freshwater reptiles.,1,Combine the facts into one statement.,Signal words like for example often introduce,the title|supporting details|the author's name,supporting details,2,Examples support the main idea.,Which title best matches a paragraph about how hurricanes form?,My Beach Trip|How Hurricanes Form|Types of Lizards,How Hurricanes Form,3,A good title names the main idea.,A sentence that does not belong should be,kept anyway|removed as extra|used as the title,removed as extra,4,Off-topic sentences hide the main idea.
read-3-ts-1,Reading,3-5,3,Text structure,Recognize sequence in a text,ELA.3.R.2.1,,Sequence texts use first next then finally or numbered steps.,First mix. Next bake. Finally cool.,published,Which words show sequence?,however because|first next finally|similarly unlike,first next finally,1,Sequence words put events in time order.,What comes after "first" in a how-to?,finally|next or then|the title,next or then,2,Steps move forward.,A recipe is usually organized by,compare and contrast|sequence|problem and solution,sequence,3,You follow steps in order.,Which is out of order for planting a seed?,dig a hole → drop seed → cover → water|water → drop seed on concrete → wait|label the pot last,dig a hole → drop seed → cover → water,4,Think about what must happen before the seed can grow.
read-4-ap-1,Reading,3-5,4,Author's purpose,Decide if a text informs persuades or entertains,ELA.4.R.3.2,,Authors write to teach to convince or to tell a story that entertains.,A science article informs. An ad persuades. A funny story entertains.,published,A chapter explaining how volcanoes erupt is meant to,entertain|inform|persuade,inform,1,It teaches facts.,A commercial that says you should buy Brain Kit is meant to,inform only|persuade|entertain only,persuade,2,Persuade means the author wants you to do or believe something.,A tall-tale about a giant fox is mainly meant to,entertain|give directions|list standards,entertain,3,Stories that delight are written to entertain.,An article that gives both facts and a call to recycle is,only entertainment|inform and persuade|a poem,inform and persuade,4,Some texts have more than one purpose. Pick the best pair.
read-4-fig-1,Reading,3-5,4,Figurative language,Identify a simile,ELA.4.R.1.4,,A simile compares two things using like or as.,The cloud was like cotton.,published,Which sentence is a simile?,The wind howled.|The wind was as sharp as glass.|It is windy.,The wind was as sharp as glass.,1,Look for like or as.,"Kit is as quick as a spark" compares Kit to,a belt|a spark|a book,a spark,2,The second thing in the comparison is the spark.,Which uses like?,She is a rock.|She ran like the wind.|She ran.,She ran like the wind.,3,Like is the clue word.,A simile is different from a metaphor because a simile,never compares|uses like or as|is always about weather,uses like or as,4,Metaphors say something is something else.
read-5-th-1,Reading,3-5,5,Literary comprehension,State a theme in a short story,ELA.5.R.1.2,read-3-lit-1,Theme is the big idea about life the story suggests. It is not just the plot.,Plot: a girl shares her lunch. Theme: kindness matters.,published,A boy practices piano every day and finally plays the song. A theme could be,pianos are black|practice helps you grow|Monday is a day,practice helps you grow,1,Theme is a lesson you could use in real life.,Theme is not the same as,a life lesson|a one-sentence plot summary|an idea about friendship or courage,a one-sentence plot summary,2,Plot is what happens. Theme is what it means.,Which is written as a theme?,Marcus lost the race.|Hard work beats talent when talent does not work.|There was a race.,Hard work beats talent when talent does not work.,3,Theme is a general statement.,A good theme should,name every character|apply beyond this one story|list page numbers,apply beyond this one story,4,If it only works for this plot it is not yet a theme.
read-5-wd-1,Reading,3-5,5,Vocabulary & word study,Use prefixes un- and re-,ELA.5.V.1.1,,un- often means not or opposite. re- often means again.,unhappy = not happy. rebuild = build again.,published,What does unhappy mean?,very happy|not happy|happy again,not happy,1,un- can flip the meaning.,Rewrite means,write messily|write again|not write,write again,2,re- points to again.,Which word means the opposite of lock?,relock|unlock|locking,unlock,3,Opposite is the un- job.,If you reread a page you,read it again|refuse to read|read a new book,read it again,4,re- + read.
read-5-fl-2,Reading,3-5,5,Fluency,Adjust rate for a hard informational paragraph,ELA.5.F.1.4,read-1-fl-1,Slow down on new words and dense facts. Speed back up when the text is familiar.,A science paragraph deserves a slower first read.,published,When a paragraph is packed with new facts you should,skip it|slow down on the first read|race,slow down on the first read,1,New information needs more time.,Fluency includes,only speed|accuracy phrasing and rate|memorizing fonts,accuracy phrasing and rate,2,Speed without accuracy is not fluency.,A good reason to reread is,the paragraph felt confusing|you finished early|the page is even,the paragraph felt confusing,3,Confusion is a signal to try again slower.,Which is a fluency goal?,sounding like speech with understanding|finishing first|skipping punctuation,sounding like speech with understanding,4,Understanding is the point.
read-k-sw-1,Reading,K-2,K,Sight words,Read kindergarten high-frequency words,ELA.K.F.1.4,,Some words we know by looking: I a the see.,I see the cat.,published,Which word is "the"?,teh|the|hte,the,1,The is t-h-e.,Find I: I can hop.,can|hop|I,I,2,I is one letter and a word.,Which sentence uses see?,I see a fox.|I sea a fox.|I se a fox.,I see a fox.,3,See is s-e-e.,A high-frequency word is one you,almost never meet|meet in many books|only see in math,meet in many books,4,High-frequency means it shows up a lot.
read-2-vo-1,Reading,K-2,2,Vocabulary,Use a glossary or nearby sentence to define a word,ELA.2.V.1.3,read-1-vo-1,If a word is new look at the sentence or a glossary in the back of the book.,Habitat: the place an animal lives.,published,A glossary is usually,on the cover|an alphabetical list of word meanings|a map,an alphabetical list of word meanings,1,Glossaries work like a mini dictionary for that book.,In "The arid desert gets almost no rain" arid means,wet|very dry|noisy,very dry,2,Almost no rain is the clue.,You should try context first because,it is faster than guessing randomly|glossaries are illegal|pictures never help,it is faster than guessing randomly,3,The sentence is sitting right there.,Which source fits a domain word in a science book?,a glossary entry|a joke book|the page number alone,a glossary entry,4,Science books often define their own terms.
read-4-mi-1,Reading,3-5,4,Main idea & detail,Distinguish main idea from supporting details in a two-paragraph text,ELA.4.R.2.2,read-3-inf-1,First find what each paragraph is about then name what the whole text is about.,Para 1: manatees eat plants. Para 2: boats can hurt them. Whole: manatees need protection in Florida waters.,published,Two paragraphs describe manatee food and boat injuries. Whole-text main idea?,Manatees eat.|Manatees face needs and dangers in the water.|Boats are fast.,Manatees face needs and dangers in the water.,1,Combine both paragraphs.,A supporting detail should,open a new topic|prove or explain the main idea|replace the title,prove or explain the main idea,2,Details work for the main idea.,If paragraph two does not fit paragraph one's idea the text may have,two related ideas under a bigger idea|no words|only pictures,two related ideas under a bigger idea,3,Zoom out one level.,Which sentence is too narrow to be the whole-text main idea?,Florida manatees are plant-eating mammals that need safe water.|They eat seagrass.|A boat has a propeller.,They eat seagrass.,4,One food fact cannot cover a whole article.
read-draft-6-media,Reading,6-8,6,Media literacy,Identify a claim in a short news blurb,ELA.6.R.3.4,,A claim is what the writer wants you to accept as true.,Claim: School start times should be later.,draft,What is a claim?,a question mark|a statement the writer wants you to accept|a caption font,a statement the writer wants you to accept,2,Claims can be argued.,Which is a claim?,Water boils at 100 C at sea level is a fact often given.|Later start times help teens.|What time is it?,Later start times help teens.,3,You could reasonably disagree with a claim.,Evidence is,the writer's hat size|facts or examples that support the claim|the URL color,facts or examples that support the claim,3,Claims need backing.,A news blurb without evidence should make you,stop thinking|ask what is missing|accept it,ask what is missing,4,Missing evidence is a flag.
